15:47:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:47:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:48:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:49:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:50:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:28 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:33 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:38 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:43 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:48 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:53 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:51:58 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:03 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:08 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:13 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:18 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:23 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:29 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:34 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:39 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:44 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:49 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:54 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:52:59 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:04 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:09 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:14 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:19 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:24 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:29 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:34 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:39 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:44 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:49 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:54 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:53:59 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:04 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:09 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:14 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:19 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:24 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:29 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:34 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:39 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:44 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:49 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:54 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:54:59 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:04 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:09 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:14 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:19 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:24 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:29 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:34 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:39 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:44 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:49 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:54 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:55:59 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:56:04 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
